Tm,Tm_pred,Tg,Tg_pred,model_id,model
231.7,232.3628,,90.79316,1,MPNN_RBF_dblPm
232.4,232.15645,,90.71242,1,MPNN_RBF_dblPm
231.7,232.21649,,90.74511,1,MPNN_RBF_dblPm
232.4,232.26588,,90.99403,1,MPNN_RBF_dblPm
231.7,232.34995,,91.03441,1,MPNN_RBF_dblPm
232.4,232.19424,,90.72419,1,MPNN_RBF_dblPm
,189.22299,95.6,100.79506,1,MPNN_RBF_dblPm
,189.3712,95.6,100.91686,1,MPNN_RBF_dblPm
,189.39453,95.6,100.93965,1,MPNN_RBF_dblPm
,189.26505,95.6,100.87538,1,MPNN_RBF_dblPm
,189.31337,95.6,100.8948,1,MPNN_RBF_dblPm
,333.6435,145.0,157.24008,1,MPNN_RBF_dblPm
,333.6435,160.0,157.2401,1,MPNN_RBF_dblPm
,334.8034,145.0,158.01047,1,MPNN_RBF_dblPm
,334.8034,160.0,158.01047,1,MPNN_RBF_dblPm
,333.6435,145.0,157.2401,1,MPNN_RBF_dblPm
,334.80344,160.0,158.01047,1,MPNN_RBF_dblPm
,333.6435,145.0,157.2401,1,MPNN_RBF_dblPm
,333.6435,160.0,157.2401,1,MPNN_RBF_dblPm
,334.80344,145.0,158.01047,1,MPNN_RBF_dblPm
,333.6435,160.0,157.2401,1,MPNN_RBF_dblPm
,306.46933,157.0,157.87613,1,MPNN_RBF_dblPm
,303.0875,157.0,156.02548,1,MPNN_RBF_dblPm
,303.0875,157.0,156.02548,1,MPNN_RBF_dblPm
,303.0875,157.0,156.02548,1,MPNN_RBF_dblPm
,303.0875,157.0,156.02548,1,MPNN_RBF_dblPm
311.0,325.76028,117.0,118.71706,1,MPNN_RBF_dblPm
311.0,325.7603,117.0,118.71706,1,MPNN_RBF_dblPm
328.0,325.7603,120.0,118.71706,1,MPNN_RBF_dblPm
311.0,325.76028,117.0,118.71706,1,MPNN_RBF_dblPm
311.0,325.7603,117.0,118.71706,1,MPNN_RBF_dblPm
328.0,325.76028,120.0,118.71706,1,MPNN_RBF_dblPm
311.0,325.2342,117.0,118.24654,1,MPNN_RBF_dblPm
311.0,325.23422,117.0,118.24654,1,MPNN_RBF_dblPm
328.0,325.7603,120.0,118.71706,1,MPNN_RBF_dblPm
311.0,325.7603,117.0,118.71706,1,MPNN_RBF_dblPm
311.0,325.76028,117.0,118.71706,1,MPNN_RBF_dblPm
328.0,325.23422,120.0,118.24654,1,MPNN_RBF_dblPm
311.0,325.23422,117.0,118.24654,1,MPNN_RBF_dblPm
311.0,325.7603,117.0,118.71706,1,MPNN_RBF_dblPm
328.0,325.23422,120.0,118.24654,1,MPNN_RBF_dblPm
,273.46536,91.2,90.832436,1,MPNN_RBF_dblPm
,273.44205,91.2,90.87414,1,MPNN_RBF_dblPm
,273.44205,91.2,90.87414,1,MPNN_RBF_dblPm
,273.44205,91.2,90.87414,1,MPNN_RBF_dblPm
,273.44205,91.2,90.87414,1,MPNN_RBF_dblPm
256.8,258.04498,114.5,115.06994,1,MPNN_RBF_dblPm
256.8,258.04498,114.5,115.069954,1,MPNN_RBF_dblPm
256.8,256.14096,114.5,113.94915,1,MPNN_RBF_dblPm
256.8,256.14096,114.5,113.94915,1,MPNN_RBF_dblPm
256.8,256.141,114.5,113.94915,1,MPNN_RBF_dblPm
228.0,221.65414,72.0,64.48057,1,MPNN_RBF_dblPm
228.0,222.89247,72.0,65.50336,1,MPNN_RBF_dblPm
228.0,221.91173,72.0,64.67361,1,MPNN_RBF_dblPm
228.0,222.19286,72.0,65.12271,1,MPNN_RBF_dblPm
228.0,224.17462,72.0,67.75933,1,MPNN_RBF_dblPm
,222.94292,102.0,102.55067,1,MPNN_RBF_dblPm
,222.83992,102.0,102.26116,1,MPNN_RBF_dblPm
,222.53535,102.0,102.42686,1,MPNN_RBF_dblPm
,222.9677,102.0,102.39068,1,MPNN_RBF_dblPm
,223.01215,102.0,102.10864,1,MPNN_RBF_dblPm
86.0,114.75396,,24.68064,1,MPNN_RBF_dblPm
86.0,114.75396,,24.680641,1,MPNN_RBF_dblPm
86.0,114.88823,,24.616257,1,MPNN_RBF_dblPm
86.0,114.75396,,24.68064,1,MPNN_RBF_dblPm
86.0,114.88823,,24.616255,1,MPNN_RBF_dblPm
,89.78232,55.0,16.658895,1,MPNN_RBF_dblPm
,89.88861,55.0,16.75654,1,MPNN_RBF_dblPm
,89.92676,55.0,16.790472,1,MPNN_RBF_dblPm
,89.85162,55.0,16.72276,1,MPNN_RBF_dblPm
,89.568436,55.0,16.457188,1,MPNN_RBF_dblPm
173.0,74.51099,,14.308843,1,MPNN_RBF_dblPm
173.0,74.586754,,14.685587,1,MPNN_RBF_dblPm
173.0,74.624565,,14.870657,1,MPNN_RBF_dblPm
173.0,74.547516,,14.496641,1,MPNN_RBF_dblPm
173.0,74.5867,,14.6855,1,MPNN_RBF_dblPm
147.0,152.84143,,46.512596,1,MPNN_RBF_dblPm
147.0,152.66441,,46.462006,1,MPNN_RBF_dblPm
147.0,152.25136,,46.39493,1,MPNN_RBF_dblPm
147.0,153.22173,,46.670273,1,MPNN_RBF_dblPm
147.0,152.74692,,46.539486,1,MPNN_RBF_dblPm
163.0,156.872,,47.422752,1,MPNN_RBF_dblPm
